Series, Page, NO., ID, Title 
6453, 1, 5, 20284319, 吉本《罗马帝国衰亡史》选 
3007, 1, 1, 3035929, 中国历朝通俗演义 
3007, 1, 2, 3028203, 民国 
3007, 1, 3, 2982039, 唐史 
3007, 1, 4, 3033933, [白话版] 清史 
3007, 1, 5, 2994748, 前汉 
3007, 1, 6, 3038111, 两晋 
3007, 1, 7, 3038110, 中国历朝通俗演义 
3007, 1, 8, 3028204, 后汉 
3007, 1, 9, 3035928, 明史 
3007, 1, 10, 3038109, 五代 
3007, 2, 26, 3038108, 中国历朝通俗演义 
18636, 1, 1, 10758290, 东晋门阀政治 
18636, 1, 2, 26295138, 士大夫政治演生史稿 
18636, 1, 3, 26162975, 原则与妥协（增订版） 
18636, 1, 4, 26504629, 家人父子 
18636, 1, 5, 25819927, 明清之际士大夫研究 
18636, 1, 6, 24529611, 有无之境 
18636, 1, 7, 26936675, 汪篯汉唐史论稿 
18636, 1, 8, 26684431, 魏晋玄学史 
18636, 1, 9, 26504653, 制度·言论·心态 
18636, 1, 10, 25834350, 诠释与重建 
3658, 15, 351, 4117144, DNA博士 
3658, 15, 352, 6797945, 亚原子世界探秘 
3658, 15, 353, 26304641, 当代大数学家画传 
3658, 15, 354, 21329898, 硅星球 
3658, 15, 355, 6837565, 大爆炸探秘 
3658, 15, 356, 26330483, 脑海探险 
3658, 15, 357, 11602640, 分子探秘 
3658, 15, 358, 25830465, 杰文斯悖论 
3658, 15, 359, 26226014, 欺骗时间 
3658, 15, 360, 25811429, 整体性与隐缠序 
3658, 16, 376, 26582856, 早期希腊科学 
3658, 16, 377, 20475739, 完美的对称 
3658, 16, 378, 26326432, 法拉第和皇家研究院 
3658, 16, 379, 7067442, 突破维数障碍 
3658, 16, 380, 26819410, 超负荷的大脑 
3658, 16, 381, 26149322, 生机勃勃的尘埃 
3658, 16, 382, 25858906, 探求万物之理 
3658, 16, 383, 26583403, 解码宇宙 
3658, 16, 384, 25817406, 奇异之美 
3658, 16, 385, 25804557, 霸王龙和陨星坑 
3658, 17, 401, 25858908, 爱因斯坦恩怨史 
3658, 17, 402, 4916541, 为世界而生 
3658, 17, 403, 26226017, 心灵的嵌齿轮 
3658, 17, 404, 20503236, 星云世界的水手 
3658, 17, 405, 26366701, 最后的竞争 
3658, 17, 406, 26583395, 古代世界的现代思考 
3658, 17, 407, 26475829, 阿尔法与奥米伽 
3658, 17, 408, 26819417, 生命的季节 
3658, 17, 409, 20388720, 循环经济 
3658, 17, 410, 26819412, 谁得到了爱因斯坦的办公室——普林斯顿高等研究院的大师们 
3658, 18, 426, 26338476, 地外文明探秘 
3658, 18, 427, 26929901, 开辟新天地 
13517, 4, 76, 1003207, 科学与社会秩序 
13517, 4, 77, 1907076, 生物学与认识 
13517, 4, 78, 1958736, 语言哲学名著选辑 
13517, 4, 79, 2287809, 哲学研究 
13517, 4, 80, 3771303, 批評的批評 
13517, 4, 81, 1028773, 社会的精神基础 
13517, 4, 82, 4027672, 知识价值革命 
2895, 2, 26, 1027496, 春秋史 
2895, 2, 27, 1067345, 辽金西夏史 
2895, 2, 28, 1034967, 元史 
2895, 2, 29, 26381860, 明史（全两册） 
2895, 2, 30, 26706787, 辽金西夏史 
721, 9, 201, 25870928, 基督教神学-牛津通识读本 
721, 9, 202, 26708751, 中国文学 
721, 9, 203, 24695965, 达达和超现实主义 
721, 9, 204, 24323296, 亚里士多德的世界-牛津通识读本 
721, 9, 205, 24381792, 后殖民主义与世界格局-牛津通识读本 
721, 9, 206, 24087460, 全球化面面观-牛津通识读本 
721, 9, 207, 26733525, 记忆-牛津通识读本 
721, 9, 208, 24163442, 天文学简史 
721, 9, 209, 24698023, 印度哲学祛魅-牛津通识读本 
721, 9, 210, 26847577, 休谟 
721, 10, 226, 25870947, 医学伦理-牛津通识读本 
721, 10, 227, 26335065, 进化-牛津通识读本 
721, 10, 228, 25870677, 笛卡尔-牛津通识读本 
721, 10, 229, 26825937, 托克维尔 
721, 10, 230, 26756219, 法律-牛津通识读本 
721, 10, 231, 25870939, 哈贝马斯-牛津通识读本 
721, 10, 232, 26651600, 地球-牛津通识读本 
721, 10, 233, 25870003, 牛顿新传-牛津通识读本 
721, 10, 234, 25870697, 国际移民 
14549, 12, 276, 1259304, 经济发展中的农业、农村、农民问题 
14549, 12, 277, 7160822, 经济哲学 
14549, 12, 278, 1915607, 美学史 
14549, 12, 279, 3389553, 泰阿泰德 智术之师 
14549, 12, 280, 25819486, 西方文化中的数学 
14549, 12, 281, 26348834, 存在巨链 
14549, 12, 282, 1042995, 日本文化史研究 
14549, 12, 283, 25908107, 功利主义 
14549, 12, 284, 26305388, 量子力学的哲学 
14549, 12, 285, 1046336, 简论上帝、人及其心灵健康 
14549, 13, 301, 11600842, 汤因比论汤因比 
14549, 13, 302, 1093919, 金融资本 
14549, 13, 303, 1253892, 黑格尔早期著作集(上) (平装) 
14549, 13, 304, 6194291, 过程与实在 
14549, 13, 305, 19998054, 悲剧的诞生 
14549, 13, 306, 26368569, 十九世纪欧洲思想史（全两卷） 
14549, 13, 307, 1251840, 贫困的哲学 第一、二卷 
14549, 13, 308, 26884694, 神正论 
14549, 13, 309, 25827599, 十九世纪欧洲史 
14549, 13, 310, 1898621, 袖珍神学 
14549, 14, 326, 2239802, 国会政体 
14549, 14, 327, 26376353, 世界图景的机械化 
14549, 14, 328, 10537649, 罗马史（第五卷） 
14549, 14, 329, 1064028, 西利斯 
14549, 14, 330, 1067211, 哈义·本·叶格赞的故事 
14549, 14, 331, 26280088, 驯服偶然 
14549, 14, 332, 3217916, 分析的时代 
14549, 14, 333, 26272565, 巴黎高等法院史 
