Doulist, Page, NO., ID, Score, Rating, Votes, Title 
41855072, 25, 612, 25849758, 32.3, 8.1, 321, 富足 
41855072, 25, 613, 2024815, 23.6, 9.3, 32, 余世维管理培训经典-(共8册) 
41855072, 25, 614, 1101677, 34.4, 8.8, 234, 问题与方法 
41855072, 25, 615, 2155338, 33.9, 9.1, 171, 货币、方法与市场过程 
41855072, 25, 616, 26590889, 32.4, 8.3, 268, 情绪急救:应对各种日常心理伤害的策略和方法 
41855072, 25, 617, 1071023, 47.4, 8.6, 2389, 谈谈方法 
41855072, 25, 618, 25975450, 27.9, 8.4, 113, 积极恋爱心理学 
41855072, 25, 619, 1083333, 36.7, 8.4, 501, 积极生活 
41855072, 25, 620, 2277299, 48.8, 8.3, 4528, 当下的力量 
41855072, 25, 621, 3669408, 45.3, 8.3, 2479, 身份的焦虑 
41855072, 25, 622, 1732060, 22.0, 8.5, 39, 爱必须自尊 
41855072, 25, 623, 26606002, 32.3, 7.8, 446, 恰如其分的自尊 
41855072, 25, 624, 1327400, 20.3, 8.8, 25, 内在革命 
41855072, 25, 625, 25832152, 30.3, 8.8, 123, 自尊的力量 
41855072, 29, 701, 26581737, 32.6, 8.7, 191, 权力的毛细管作用 
41855072, 29, 702, 2155344, 32.2, 8.8, 165, 权力与市场 
41855072, 29, 703, 5373043, 23.4, 7.5, 107, 人情与面子 
41855072, 29, 704, 10971888, -2.7, 0.0, 3, 交际与面子博弈 
41855072, 29, 705, 1418098, 29.2, 8.9, 96, 正念的奇迹 
41855072, 29, 706, 3704160, 28.0, 8.9, 79, 奇迹集 
41855072, 29, 707, 1005770, 28.6, 8.9, 87, 寻找奇迹 
41855072, 29, 708, 6053667, 24.7, 9.9, 28, 動力取向精神醫學--臨床應用與實務 
41855072, 29, 709, 1002574, 31.0, 8.8, 137, 资本主义的动力 
41855072, 29, 710, 26388011, 24.9, 7.4, 161, 隐性动机 
41855072, 29, 711, 1245491, 24.2, 9.1, 39, 学佛者的信念 
41855072, 29, 712, 1936709, 24.6, 9.3, 37, 坚守信念 
41855072, 29, 713, 1261739, 24.0, 9.2, 36, 基督教信念的知识地位 
41855072, 29, 714, 3538342, -5.5, 0.0, 9, 信仰与奋斗力的建造 
41855072, 29, 715, 3990612, 18.3, 9.1, 16, 正视人生的信仰 
41855072, 29, 716, 2979678, 21.0, 9.3, 22, 我的信仰 
